"Congress" "states_served" "is_slaveholder" "count"
"188" 13 "OH" "true" 3
"189" 13 "OH" "unknown" 5
"190" 13 "PA" "false" 21
"191" 13 "PA" "true" 7
"192" 13 "PA" "unknown" 2
"193" 13 "RI" "false" 2
"194" 13 "RI" "true" 2
"195" 13 "SC" "true" 11
"196" 13 "TN" "true" 6
"197" 13 "TN" "unknown" 3
"198" 13 "VA" "true" 22
"199" 13 "VA" "unknown" 5
"200" 13 "VT" "false" 8
"201" 14 "CT" "false" 5
"202" 14 "CT" "true" 2
"203" 14 "CT" "unknown" 2
"204" 14 "DE" "true" 3
"205" 14 "DE" "unknown" 1
"206" 14 "GA" "true" 8
"207" 14 "GA" "unknown" 2
"208" 14 "IL" "true" 2
"209" 14 "IN" "false" 1
"210" 14 "IN" "unknown" 3
"211" 14 "KY" "true" 14
"212" 14 "LA" "true" 2
"213" 14 "LA" "unknown" 1
"214" 14 "MA" "false" 21
"215" 14 "MA" "unknown" 2
"216" 14 "MA,ME" "false" 1
"217" 14 "MD" "true" 10
"218" 14 "MD" "unknown" 3
"219" 14 "MO" "true" 2
"220" 14 "MS" "true" 1
"221" 14 "NC" "true" 14
"222" 14 "NC" "unknown" 3
"223" 14 "NC,AL" "true" 2
"224" 14 "NC,TN" "true" 1
"225" 14 "NH" "false" 7
"226" 14 "NH,MA" "false" 1
"227" 14 "NJ" "true" 3
"228" 14 "NJ" "unknown" 5
"229" 14 "NY" "false" 15
"230" 14 "NY" "true" 15
"231" 14 "NY" "unknown" 3
"232" 14 "OH" "false" 2
"233" 14 "OH" "true" 3
"234" 14 "OH" "unknown" 4
"235" 14 "PA" "false" 19
"236" 14 "PA" "true" 6
"237" 14 "PA" "unknown" 3
"238" 14 "RI" "false" 3
"239" 14 "RI" "true" 1
"240" 14 "SC" "true" 11
"241" 14 "SC" "unknown" 2
"242" 14 "SC,MD" "true" 1
"243" 14 "TN" "true" 8
"244" 14 "TN" "unknown" 1
"245" 14 "VA" "true" 25
"246" 14 "VA" "unknown" 3
"247" 14 "VT" "false" 8
"248" 15 "AL" "true" 1
"249" 15 "CT" "false" 5
"250" 15 "CT" "true" 3
"251" 15 "CT" "unknown" 2
"252" 15 "DE" "false" 1
"253" 15 "DE" "true" 3
"254" 15 "GA" "true" 8
"255" 15 "GA" "unknown" 1
"256" 15 "IL" "false" 1
"257" 15 "IL" "true" 2
"258" 15 "IN" "false" 1
"259" 15 "IN" "unknown" 2
"260" 15 "IN,IL" "true" 1
"261" 15 "KY" "true" 11
"262" 15 "LA" "true" 3
"263" 15 "LA" "unknown" 1
"264" 15 "MA" "false" 19
"265" 15 "MA" "unknown" 1
"266" 15 "MA,ME" "false" 3
"267" 15 "MA,ME" "unknown" 1
"268" 15 "MD" "true" 9
"269" 15 "MD" "unknown" 2
"270" 15 "MO" "true" 1
"271" 15 "MS" "true" 2
"272" 15 "MS" "unknown" 1
"273" 15 "NC" "false" 1
"274" 15 "NC" "true" 15
"275" 15 "NC" "unknown" 2
"276" 15 "NH" "false" 9
"277" 15 "NJ" "false" 1
"278" 15 "NJ" "true" 2
"279" 15 "NJ" "unknown" 5
"280" 15 "NY" "false" 13
"281" 15 "NY" "true" 15
"282" 15 "NY" "unknown" 1
"283" 15 "OH" "false" 4
"284" 15 "OH" "true" 1
"285" 15 "OH" "unknown" 3
"286" 15 "PA" "false" 22
"287" 15 "PA" "true" 4
"288" 15 "PA" "unknown" 2
"289" 15 "RI" "false" 3
"290" 15 "RI" "true" 1
"291" 15 "SC" "true" 12
"292" 15 "TN" "true" 7
"293" 15 "TN" "unknown" 2
"294" 15 "TN,LA" "unknown" 1
"295" 15 "VA" "true" 22
"296" 15 "VA" "unknown" 4
"297" 15 "VA,KY" "true" 1
"298" 15 "VT" "false" 9
"299" 15 "VT" "true" 1
"300" 16 "AL" "true" 2
"301" 16 "AR" "true" 1
"302" 16 "CT" "false" 5
"303" 16 "CT" "true" 2
"304" 16 "CT" "unknown" 2
"305" 16 "DE" "false" 1
"306" 16 "DE" "true" 3
"307" 16 "GA" "true" 7
"308" 16 "GA" "unknown" 1
"309" 16 "IL" "true" 1
"310" 16 "IL" "unknown" 1
"311" 16 "IN" "false" 1
"312" 16 "IN" "unknown" 2
"313" 16 "IN,IL" "true" 1
"314" 16 "KY" "true" 15
"315" 16 "LA" "true" 3
"316" 16 "MA" "false" 20
"317" 16 "MA" "unknown" 1
"318" 16 "MA,ME" "false" 5
"319" 16 "MA,ME" "unknown" 1
"320" 16 "MD" "true" 10
"321" 16 "MD" "unknown" 2
"322" 16 "ME" "false" 1
"323" 16 "MI" "false" 2
"324" 16 "MO" "true" 1
"325" 16 "MS" "true" 1
"326" 16 "MS" "unknown" 2
"327" 16 "NC" "true" 15
"328" 16 "NC" "unknown" 1
"329" 16 "NC,AL" "true" 1
"330" 16 "NH" "false" 8
"331" 16 "NJ" "false" 1
"332" 16 "NJ" "true" 4
"333" 16 "NJ" "unknown" 5
"334" 16 "NY" "false" 16
"335" 16 "NY" "true" 11
"336" 16 "NY" "unknown" 3
"337" 16 "OH" "false" 4
"338" 16 "OH" "unknown" 4
"339" 16 "PA" "false" 23
"340" 16 "PA" "true" 3
"341" 16 "PA" "unknown" 1
"342" 16 "RI" "false" 4
"343" 16 "RI" "true" 1
"344" 16 "SC" "true" 11
"345" 16 "TN" "true" 7
"346" 16 "TN" "unknown" 1
"347" 16 "VA" "true" 25
"348" 16 "VA" "unknown" 4
"349" 16 "VA,MS" "true" 1
"350" 16 "VT" "false" 8
"351" 16 "VT" "true" 1
"352" 17 "AL" "true" 3
"353" 17 "AR" "true" 1
"354" 17 "CT" "false" 6
"355" 17 "CT" "true" 2
"356" 17 "CT" "unknown" 1
"357" 17 "DE" "false" 1
"358" 17 "DE" "true" 3
"359" 17 "FL" "true" 1
"360" 17 "GA" "true" 8
"361" 17 "GA" "unknown" 1
"362" 17 "IL" "true" 1
"363" 17 "IL" "unknown" 1
"364" 17 "IN" "false" 1
"365" 17 "IN" "unknown" 3
"366" 17 "IN,IL" "true" 1
"367" 17 "KY" "true" 13
"368" 17 "LA" "true" 3
"369" 17 "MA" "false" 14
"370" 17 "MA" "unknown" 2
"371" 17 "MA,ME" "false" 5
"372" 17 "MA,ME" "unknown" 1
"373" 17 "MD" "true" 10
"374" 17 "MD" "unknown" 3
"375" 17 "ME" "false" 4
"376" 17 "MI" "false" 1
"377" 17 "MO" "true" 2
"378" 17 "MO" "unknown" 1
"379" 17 "MS" "unknown" 2
"380" 17 "NC" "true" 14
"381" 17 "NC" "unknown" 1
"382" 17 "NC,AL" "true" 1
"383" 17 "NH" "false" 8
"384" 17 "NJ" "true" 2
"385" 17 "NJ" "unknown" 6
"386" 17 "NY" "false" 15
"387" 17 "NY" "true" 12
"388" 17 "NY" "unknown" 5
"389" 17 "OH" "false" 8
"390" 17 "OH" "unknown" 2
"391" 17 "PA" "false" 23
"392" 17 "PA" "true" 4
"393" 17 "PA" "unknown" 4
"394" 17 "RI" "false" 2
"395" 17 "RI" "true" 1
"396" 17 "RI" "unknown" 1
"397" 17 "SC" "true" 13
"398" 17 "SC" "unknown" 1
"399" 17 "TN" "true" 7
"400" 17 "TN" "unknown" 1
"401" 17 "VA" "false" 1
"402" 17 "VA" "true" 22
"403" 17 "VA" "unknown" 4
"404" 17 "VA,KY" "true" 1
"405" 17 "VA,MS" "true" 1
"406" 17 "VT" "false" 6
"407" 17 "VT" "true" 1
"408" 17 "VT" "unknown" 1
"409" 18 "AL" "true" 3
"410" 18 "AL" "unknown" 1
"411" 18 "AR" "unknown" 1
"412" 18 "CT" "false" 6
"413" 18 "CT" "true" 2
"414" 18 "CT" "unknown" 1
"415" 18 "DE" "true" 3
"416" 18 "FL" "true" 1
"417" 18 "GA" "true" 9
"418" 18 "GA" "unknown" 1
"419" 18 "IL" "false" 1
"420" 18 "IL" "true" 1
"421" 18 "IL" "unknown" 1
"422" 18 "IN" "false" 3
"423" 18 "IN" "unknown" 3
"424" 18 "IN,IL" "true" 1
"425" 18 "KY" "true" 14
"426" 18 "LA" "true" 6
"427" 18 "MA" "false" 12
"428" 18 "MA" "unknown" 2
"429" 18 "MA,ME" "false" 3
"430" 18 "MA,ME" "unknown" 1
"431" 18 "MD" "true" 8
"432" 18 "MD" "unknown" 3
"433" 18 "ME" "false" 5
"434" 18 "MI" "unknown" 1
"435" 18 "MO" "true" 2
"436" 18 "MO" "unknown" 1
"437" 18 "MS" "unknown" 2
"438" 18 "NC" "true" 15
"439" 18 "NC" "unknown" 1
"440" 18 "NC,AL" "true" 1
"441" 18 "NH" "false" 8
"442" 18 "NH,MA" "false" 1
"443" 18 "NJ" "true" 1
"444" 18 "NJ" "unknown" 7
